Event,Start time,End time,Event Description/Agenda,Venue,Street Address,Latitude,Longitude,Location,Event Info Url,Classification,Audience
Energy & Environment Committee,08/08/2017 02:00:00 PM,08/08/2017 02:00:00 PM,Energy & Environment Committee,Council Chambers,600 Fourth Avenue,47.60377,-122.32971,"(47.60377, -122.32971)",http://www.seattle.gov/council/calendar/default.htm?trumbaEmbed=view%3devent%26eventid%3d117551791,,
"Gender Equity, Safe Communities & New Americans",08/09/2017 09:30:00 AM,08/09/2017 09:30:00 AM,"Gender Equity, Safe Communities & New Americans",Council Chambers,600 Fourth Avenue,47.60377,-122.32971,"(47.60377, -122.32971)",http://www.seattle.gov/council/calendar/default.htm?trumbaEmbed=view%3devent%26eventid%3d121694477,,
Human Services & Public Health Committee,08/09/2017 02:00:00 PM,08/09/2017 02:00:00 PM,Human Services & Public Health Committee,Council Chambers,600 Fourth Avenue,47.60377,-122.32971,"(47.60377, -122.32971)",http://www.seattle.gov/council/calendar/default.htm?trumbaEmbed=view%3devent%26eventid%3d117551843,,
Council Briefing,08/14/2017 09:30:00 AM,08/14/2017 09:30:00 AM,Council Briefing,Council Chambers,"600 Fourth Ave., Floor 2",,,,http://www.seattle.gov/council/calendar/default.htm?trumbaEmbed=view%3devent%26eventid%3d117552007,,
Full Council,08/14/2017 02:00:00 PM,08/14/2017 02:00:00 PM,Full Council,Council Chambers,"600 Fourth Ave., Floor 2",,,,http://www.seattle.gov/council/calendar/default.htm?trumbaEmbed=view%3devent%26eventid%3d117552059,,
"Planning, Land Use & Zoning Committee",08/15/2017 09:30:00 AM,08/15/2017 09:30:00 AM,"Planning, Land Use & Zoning Committee",Council Chambers,600 Fourth Avenue,47.60377,-122.32971,"(47.60377, -122.32971)",http://www.seattle.gov/council/calendar/default.htm?trumbaEmbed=view%3devent%26eventid%3d117551908,,
Sustainability & Transportation Committee,08/15/2017 02:00:00 PM,08/15/2017 02:00:00 PM,Sustainability & Transportation Committee,Council Chambers,600 Fourth Avenue,47.60377,-122.32971,"(47.60377, -122.32971)",http://www.seattle.gov/council/calendar/default.htm?trumbaEmbed=view%3devent%26eventid%3d117551968,,
"Affordable Housing, Neigborhoods & Finance Committee",08/16/2017 09:30:00 AM,08/16/2017 09:30:00 AM,"Affordable Housing, Neigborhoods & Finance Committee",Council Chambers,600 Fourth Avenue,47.60377,-122.32971,"(47.60377, -122.32971)",http://www.seattle.gov/council/calendar/default.htm?trumbaEmbed=view%3devent%26eventid%3d117551709,,
"Education, Equity & Governance",08/16/2017 02:00:00 PM,08/16/2017 02:00:00 PM,"Education, Equity & Governance",Council Chambers,600 Fourth Avenue,47.60377,-122.32971,"(47.60377, -122.32971)",http://www.seattle.gov/council/calendar/default.htm?trumbaEmbed=view%3devent%26eventid%3d121694380,,
"Parks, Seattle Center, Libraries & Waterfront Committee",08/17/2017 09:30:00 AM,08/17/2017 09:30:00 AM,"Parks, Seattle Center, Libraries & Waterfront Committee",Council Chambers,"600 Fourth Ave., Floor 2",,,,http://www.seattle.gov/council/calendar/default.htm?trumbaEmbed=view%3devent%26eventid%3d121694585,,
Councilmember Lisa Herbold's In-District Office Hours,08/18/2017 02:00:00 PM,08/18/2017 07:00:00 PM,Councilmember Lisa Herbold's In-District Office Hours,,Senior Center of West Seattle,,,,http://www.seattle.gov/council/calendar/default.htm?trumbaEmbed=view%3devent%26eventid%3d122873990,,
Council Briefing,08/21/2017 09:30:00 AM,08/21/2017 09:30:00 AM,Council Briefing,Council Chambers,"600 Fourth Ave., Floor 2",,,,http://www.seattle.gov/council/calendar/default.htm?trumbaEmbed=view%3devent%26eventid%3d117552008,,
Full Council,08/21/2017 02:00:00 PM,08/21/2017 02:00:00 PM,Full Council,Council Chambers,"600 Fourth Ave., Floor 2",,,,http://www.seattle.gov/council/calendar/default.htm?trumbaEmbed=view%3devent%26eventid%3d117552060,,
"Civil Rights, Utilities, Economic Development & Arts Committee",08/22/2017 09:30:00 AM,08/22/2017 09:30:00 AM,"Civil Rights, Utilities, Economic Development & Arts Committee",Council Chambers,600 Fourth Avenue,47.60377,-122.32971,"(47.60377, -122.32971)",http://www.seattle.gov/council/calendar/default.htm?trumbaEmbed=view%3devent%26eventid%3d121690756,,
Energy & Environment,08/22/2017 02:00:00 PM,08/22/2017 02:00:00 PM,Energy & Environment,Council Chambers,600 Fourth Avenue,47.60377,-122.32971,"(47.60377, -122.32971)",http://www.seattle.gov/council/calendar/default.htm?trumbaEmbed=view%3devent%26eventid%3d117551804,,
"Gender Equity, Safe Communities & New Americans",08/23/2017 09:30:00 AM,08/23/2017 09:30:00 AM,"Gender Equity, Safe Communities & New Americans",Council Chambers,600 Fourth Avenue,47.60377,-122.32971,"(47.60377, -122.32971)",http://www.seattle.gov/council/calendar/default.htm?trumbaEmbed=view%3devent%26eventid%3d117551749,,
Human Services & Public Health Committee,08/23/2017 02:00:00 PM,08/23/2017 02:00:00 PM,Human Services & Public Health Committee,Council Chambers,600 Fourth Avenue,47.60377,-122.32971,"(47.60377, -122.32971)",http://www.seattle.gov/council/calendar/default.htm?trumbaEmbed=view%3devent%26eventid%3d117551855,,
Council Briefing,08/28/2017 09:30:00 AM,08/28/2017 09:30:00 AM,Council Briefing,Council Chambers,"600 Fourth Ave., Floor 2",,,,http://www.seattle.gov/council/calendar/default.htm?trumbaEmbed=view%3devent%26eventid%3d117552009,,
Full Council,08/28/2017 02:00:00 PM,08/28/2017 02:00:00 PM,Full Council,Council Chambers,"600 Fourth Ave., Floor 2",,,,http://www.seattle.gov/council/calendar/default.htm?trumbaEmbed=view%3devent%26eventid%3d117552061,,
Council Briefing,09/05/2017 09:30:00 AM,09/05/2017 09:30:00 AM,Council Briefing,Council Chambers,"600 Fourth Ave., Floor 2",,,,http://www.seattle.gov/council/calendar/default.htm?trumbaEmbed=view%3devent%26eventid%3d117552010,,
Full Council,09/05/2017 02:00:00 PM,09/05/2017 02:00:00 PM,Full Council,Council Chambers,"600 Fourth Ave., Floor 2",,,,http://www.seattle.gov/council/calendar/default.htm?trumbaEmbed=view%3devent%26eventid%3d117552062,,
"Affordable Housing, Neigborhoods & Finance",09/06/2017 09:30:00 AM,09/06/2017 09:30:00 AM,"Affordable Housing, Neigborhoods & Finance",Council Chambers,600 Fourth Avenue,47.60377,-122.32971,"(47.60377, -122.32971)",http://www.seattle.gov/council/calendar/default.htm?trumbaEmbed=view%3devent%26eventid%3d117551676,,
"Education, Equity & Governance",09/06/2017 02:00:00 PM,09/06/2017 02:00:00 PM,"Education, Equity & Governance",Council Chambers,600 Fourth Avenue,47.60377,-122.32971,"(47.60377, -122.32971)",http://www.seattle.gov/council/calendar/default.htm?trumbaEmbed=view%3devent%26eventid%3d117551763,,
"Parks, Seattle Center, Libraries & Waterfront Committee",09/07/2017 09:30:00 AM,09/07/2017 09:30:00 AM,"Parks, Seattle Center, Libraries & Waterfront Committee",Council Chambers,600 Fourth Avenue,47.60377,-122.32971,"(47.60377, -122.32971)",http://www.seattle.gov/council/calendar/default.htm?trumbaEmbed=view%3devent%26eventid%3d117552104,,
"Planning, Land Use & Zoning Committee",09/08/2017 09:30:00 AM,09/08/2017 09:30:00 AM,"Planning, Land Use & Zoning Committee",Council Chambers,600 Fourth Avenue,47.60377,-122.32971,"(47.60377, -122.32971)",http://www.seattle.gov/council/calendar/default.htm?trumbaEmbed=view%3devent%26eventid%3d117551882,,
Sustainability & Transportation,09/08/2017 02:00:00 PM,09/08/2017 02:00:00 PM,Sustainability & Transportation,Council Chambers,600 Fourth Avenue,47.60377,-122.32971,"(47.60377, -122.32971)",http://www.seattle.gov/council/calendar/default.htm?trumbaEmbed=view%3devent%26eventid%3d117551922,,
Council Briefing,09/11/2017 09:30:00 AM,09/11/2017 09:30:00 AM,Council Briefing,Council Chambers,"600 Fourth Ave., Floor 2",,,,http://www.seattle.gov/council/calendar/default.htm?trumbaEmbed=view%3devent%26eventid%3d117552011,,
Full Council,09/11/2017 02:00:00 PM,09/11/2017 02:00:00 PM,Full Council,Council Chambers,"600 Fourth Ave., Floor 2",,,,http://www.seattle.gov/council/calendar/default.htm?trumbaEmbed=view%3devent%26eventid%3d117552063,,
"Civil Rights, Utilities, Economic Development & Arts Committee",09/12/2017 09:30:00 AM,09/12/2017 09:30:00 AM,"Civil Rights, Utilities, Economic Development & Arts Committee",Council Chambers,600 Fourth Avenue,47.60377,-122.32971,"(47.60377, -122.32971)",http://www.seattle.gov/council/calendar/default.htm?trumbaEmbed=view%3devent%26eventid%3d117551722,,
Energy & Environment Committee,09/12/2017 02:00:00 PM,09/12/2017 02:00:00 PM,Energy & Environment Committee,Council Chambers,600 Fourth Avenue,47.60377,-122.32971,"(47.60377, -122.32971)",http://www.seattle.gov/council/calendar/default.htm?trumbaEmbed=view%3devent%26eventid%3d117551792,,
"Gender Equity, Safe Communities & New Americans",09/13/2017 09:30:00 AM,09/13/2017 09:30:00 AM,"Gender Equity, Safe Communities & New Americans",Council Chambers,600 Fourth Avenue,47.60377,-122.32971,"(47.60377, -122.32971)",http://www.seattle.gov/council/calendar/default.htm?trumbaEmbed=view%3devent%26eventid%3d121694478,,
Human Services & Public Health Committee,09/13/2017 02:00:00 PM,09/13/2017 02:00:00 PM,Human Services & Public Health Committee,Council Chambers,600 Fourth Avenue,47.60377,-122.32971,"(47.60377, -122.32971)",http://www.seattle.gov/council/calendar/default.htm?trumbaEmbed=view%3devent%26eventid%3d117551844,,
Council Briefing,09/18/2017 09:30:00 AM,09/18/2017 09:30:00 AM,Council Briefing,Council Chambers,"600 Fourth Ave., Floor 2",,,,http://www.seattle.gov/council/calendar/default.htm?trumbaEmbed=view%3devent%26eventid%3d117552012,,
Full Council,09/18/2017 02:00:00 PM,09/18/2017 02:00:00 PM,Full Council,Council Chambers,"600 Fourth Ave., Floor 2",,,,http://www.seattle.gov/council/calendar/default.htm?trumbaEmbed=view%3devent%26eventid%3d117552064,,
"Planning, Land Use & Zoning Committee",09/19/2017 09:30:00 AM,09/19/2017 09:30:00 AM,"Planning, Land Use & Zoning Committee",Council Chambers,600 Fourth Avenue,47.60377,-122.32971,"(47.60377, -122.32971)",http://www.seattle.gov/council/calendar/default.htm?trumbaEmbed=view%3devent%26eventid%3d117551909,,
Sustainability & Transportation Committee,09/19/2017 02:00:00 PM,09/19/2017 02:00:00 PM,Sustainability & Transportation Committee,Council Chambers,600 Fourth Avenue,47.60377,-122.32971,"(47.60377, -122.32971)",http://www.seattle.gov/council/calendar/default.htm?trumbaEmbed=view%3devent%26eventid%3d117551969,,
"Affordable Housing, Neigborhoods & Finance Committee",09/20/2017 09:30:00 AM,09/20/2017 09:30:00 AM,"Affordable Housing, Neigborhoods & Finance Committee",Council Chambers,600 Fourth Avenue,47.60377,-122.32971,"(47.60377, -122.32971)",http://www.seattle.gov/council/calendar/default.htm?trumbaEmbed=view%3devent%26eventid%3d117551710,,
"Education, Equity & Governance",09/20/2017 02:00:00 PM,09/20/2017 02:00:00 PM,"Education, Equity & Governance",Council Chambers,600 Fourth Avenue,47.60377,-122.32971,"(47.60377, -122.32971)",http://www.seattle.gov/council/calendar/default.htm?trumbaEmbed=view%3devent%26eventid%3d121694381,,
"Parks, Seattle Center, Libraries & Waterfront Committee",09/21/2017 09:30:00 AM,09/21/2017 09:30:00 AM,"Parks, Seattle Center, Libraries & Waterfront Committee",Council Chambers,"600 Fourth Ave., Floor 2",,,,http://www.seattle.gov/council/calendar/default.htm?trumbaEmbed=view%3devent%26eventid%3d121694586,,
Councilmember Lisa Herbold's In-District Office Hours,09/22/2017 02:00:00 PM,09/22/2017 07:00:00 PM,Councilmember Lisa Herbold's In-District Office Hours,,South Park Community Center,47.52832,-122.32431,"(47.52832, -122.32431)",http://www.seattle.gov/council/calendar/default.htm?trumbaEmbed=view%3devent%26eventid%3d122873991,,
Council Briefing,09/25/2017 09:30:00 AM,09/25/2017 09:30:00 AM,Council Briefing,Council Chambers,"600 Fourth Ave., Floor 2",,,,http://www.seattle.gov/council/calendar/default.htm?trumbaEmbed=view%3devent%26eventid%3d117552013,,
Full Council,09/25/2017 02:00:00 PM,09/25/2017 02:00:00 PM,Full Council,Council Chambers,"600 Fourth Ave., Floor 2",,,,http://www.seattle.gov/council/calendar/default.htm?trumbaEmbed=view%3devent%26eventid%3d117552065,,
"Civil Rights, Utilities, Economic Development & Arts Committee",09/26/2017 09:30:00 AM,09/26/2017 09:30:00 AM,"Civil Rights, Utilities, Economic Development & Arts Committee",Council Chambers,600 Fourth Avenue,47.60377,-122.32971,"(47.60377, -122.32971)",http://www.seattle.gov/council/calendar/default.htm?trumbaEmbed=view%3devent%26eventid%3d121690757,,
Energy & Environment,09/26/2017 02:00:00 PM,09/26/2017 02:00:00 PM,Energy & Environment,Council Chambers,600 Fourth Avenue,47.60377,-122.32971,"(47.60377, -122.32971)",http://www.seattle.gov/council/calendar/default.htm?trumbaEmbed=view%3devent%26eventid%3d117551805,,
"Gender Equity, Safe Communities & New Americans",09/27/2017 09:30:00 AM,09/27/2017 09:30:00 AM,"Gender Equity, Safe Communities & New Americans",Council Chambers,600 Fourth Avenue,47.60377,-122.32971,"(47.60377, -122.32971)",http://www.seattle.gov/council/calendar/default.htm?trumbaEmbed=view%3devent%26eventid%3d117551750,,
Human Services & Public Health Committee,09/27/2017 02:00:00 PM,09/27/2017 02:00:00 PM,Human Services & Public Health Committee,Council Chambers,600 Fourth Avenue,47.60377,-122.32971,"(47.60377, -122.32971)",http://www.seattle.gov/council/calendar/default.htm?trumbaEmbed=view%3devent%26eventid%3d117551856,,
Council Briefing,10/02/2017 09:30:00 AM,10/02/2017 09:30:00 AM,Council Briefing,Council Chambers,"600 Fourth Ave., Floor 2",,,,http://www.seattle.gov/council/calendar/default.htm?trumbaEmbed=view%3devent%26eventid%3d117552014,,
Full Council,10/02/2017 02:00:00 PM,10/02/2017 02:00:00 PM,Full Council,Council Chambers,"600 Fourth Ave., Floor 2",,,,http://www.seattle.gov/council/calendar/default.htm?trumbaEmbed=view%3devent%26eventid%3d117552066,,
"Planning, Land Use & Zoning Committee",10/03/2017 09:30:00 AM,10/03/2017 09:30:00 AM,"Planning, Land Use & Zoning Committee",Council Chambers,600 Fourth Avenue,47.60377,-122.32971,"(47.60377, -122.32971)",http://www.seattle.gov/council/calendar/default.htm?trumbaEmbed=view%3devent%26eventid%3d117551883,,
Sustainability & Transportation,10/03/2017 02:00:00 PM,10/03/2017 02:00:00 PM,Sustainability & Transportation,Council Chambers,600 Fourth Avenue,47.60377,-122.32971,"(47.60377, -122.32971)",http://www.seattle.gov/council/calendar/default.htm?trumbaEmbed=view%3devent%26eventid%3d117551923,,
"Affordable Housing, Neigborhoods & Finance",10/04/2017 09:30:00 AM,10/04/2017 09:30:00 AM,"Affordable Housing, Neigborhoods & Finance",Council Chambers,600 Fourth Avenue,47.60377,-122.32971,"(47.60377, -122.32971)",http://www.seattle.gov/council/calendar/default.htm?trumbaEmbed=view%3devent%26eventid%3d117551677,,
